Programme,NewProgramme?,Sector,Dimension,Learning_Area,Typeofprog_VicePrincipal(Admin)[VP(A)],Typeofprog_AdminstrativeManager[AM],Typeofprog_OperationManager[OM],Typeofprog_AssistantOperationManager/SLT[AssistantOM/SLT],Typeofprog_ICTManager,Typeofprog_ClusterICTManager,Typeofprog_STEMInstructor(Workshop),Typeofprog_STEMInstructor(Laboratory),Typeofprog_CorporateSupportOfficer[CSO],Typeofprog_AdminExecutive[AE],Typeofprog_TechnicalSupportOfficer(AudioVisual)[TSO(AV)],Typeofprog_OperationSupportOfficer[OSO],ApplicationBasis,ProgMode,E-learning link,ProgrammeMonth,Remarks
[P101] Basic Understanding of Procurement Processes,Recurring,Procurement Management,Procurement Policy/Plans,Plans,,,,,,,Mandatory ,Mandatory ,,,Mandatory ,,Sign up,E-learning,OPAL2.0,All year round,E-learning on OPAL2.0. *Mandatory for TSOs officers with GeBIZ account
[P201] Processes and Scenarios in Procurement,Recurring,Procurement Management,Procurement Policy/Plans,Plans,,,Mandatory ,,Mandatory ,Mandatory ,,,Mandatory ,,,,Sign up,E-learning,OPAL2.0,All year round,E-learning on OPAL2.0
[P202] Oversight of Procurement,Recurring,Procurement Management,Procurement Policy/Plans,Plans,Mandatory ,Mandatory ,,,,,,,,,,,Sign up,E-learning,OPAL2.0,All year round,E-learning on OPAL2.0
A1: Procurement E-Learning 1.1 (CSC),Recurring,Procurement Management,Procurement Policy/Plans,Plans,Optional,,Optional,,Optional,Optional,,,Optional,,,,Sign up,F2F,csc.gov.sg,January,"Civil Service College (CSC)
csc.gov.sg"
B1: Step Up Procurement: An Intermediate Course,Recurring,Procurement Management,Procurement Policy/Plans,Plans,,,,,,,,,,,,,Sign up,F2F,csc.gov.sg,September,"Civil Service College (CSC)
csc.gov.sg"
B2: IPM Course & Toolkit for Procurement Officers (IPOS),Recurring,Procurement Management,Procurement Policy/Plans,Plans,,,,,,,,,,,,,Sign up,F2F,ipos.gov.sg,September,"Intellectual Property Office of Singapore (IPOS)
ipos.gov.sg"
B3: Contract & Agency Law (SUSS),Recurring,Procurement Management,Procurement Policy/Plans,Plans,,,,,,,,,,,,,Sign up,F2F,,"September, December",Submit registration form to Singapore Univiersity of Social Sciences: cet@suss.edu.sg
B5: Procurement Ethics & Social Responsibility (SUSS),Recurring,Procurement Management,Procurement Policy/Plans,Plans,,,,,,,,,,,,,Sign up,F2F,,"June, July, August",Submit registration form to Singapore Univiersity of Social Sciences: cet@suss.edu.sg
B6: Basic Project Mgt and Best Practices (DSTA),Recurring,Procurement Management,Procurement Policy/Plans,Plans,,,,,,,,,,,,,Sign up,F2F,,June,Submit registration form to Singapore Univiersity of Social Sciences: cet@suss.edu.sg
C4: Advanced Project Management (DSTA),Recurring,Procurement Management,Procurement Policy/Plans,Plans,,,,,,,,,,,,,Sign up,F2F,,January,Submit registration form to Singapore Univiersity of Social Sciences: cet@suss.edu.sg
VP Financial Management Course in the VP Learning Series (School Division): Finance & Procurement Division (FPD) section on School Procurement Procedures ,Recurring,Procurement Management,Procurement Sourcing,Operations,Essential ,Optional,,,,,,,,,,,Sign up,F2F,,August,Refer to email from Human Resource Group (HRG) to new VPAs
"GeBIZ 2.0 E-Learning (LEARN by CSC)
- Introduction to GeBIZ 2.0 (GBZE1)  [NEW]
- Approval of Requirements (AOR) (GBZE2) [NEW]
- Direct Buy (GBZE3) [NEW]
- GeBIZ Mall (GBZE4) [NEW]
- Catalogue Buy (GBZE5)
- Framework Buy (GBZE6)
- Quotation (GBZE7)
- Contracting (GBZE8) [NEW]
- Goods Acceptance (GBZE9) [NEW]
- Tender (GBE10)
- Direct Contracting (GBE11)
- Catalogue Administration (GBE12)
- GeBIZ Administration (GBE13)",Recurring,Procurement Management,Procurement Sourcing,Operations,,,Mandatory ,,Mandatory ,Mandatory ,Mandatory ,Mandatory ,Mandatory ,Mandatory ,Mandatory ,,Sign up,F2F,csc.gov.sg,December,"Civil Service College (CSC)
csc.gov.sg *Mandatory for officers who has GeBIZ account"
Evaluation Methodologies for Public Sector Procurement (CSC),Recurring,Procurement Management,Procurement Sourcing,Operations,,,,,,,,,,Optional,,,Sign up,F2F,csc.gov.sg,September,"Civil Service College (CSC)
csc.gov.sg"
B4: Procurement Operations (SUSS),New,Procurement Management,Procurement Sourcing,Operations,,,,,,,,,,Optional,,,Sign up,F2F,,"October, December",Submit registration form to Singapore Univiersity of Social Sciences: cet@suss.edu.sg
"B7: Commodities Purchase, Publicity, Consultancy and Mgt Svcs* (DSTA) 

*Or any of the following: Construction and Facilities Management, Research and Development, Systems Integrations and Development, Operations and Support and Public Private Partnership.",Recurring,Procurement Management,Procurement Sourcing,Operations,,Essential,,,,,,,,Optional,,,Sign up,F2F,,December,Submit registration form to Singapore Univiersity of Social Sciences: cet@suss.edu.sg
C1: Category Management & Supplier Evaluation (SUSS),Recurring,Procurement Management,Procurement Sourcing,Operations,,,,,,,,,,,,,Sign up,F2F,,"June, July, August",Submit registration form to Singapore Univiersity of Social Sciences: cet@suss.edu.sg
C3: Supplier Relationship Management (SUSS),Recurring,Procurement Management,Procurement Sourcing,Operations,,,,,,,,,,,,,Nomination only,F2F,,November,Submit registration form to Singapore Univiersity of Social Sciences: cet@suss.edu.sg
Managing Conflict,New,Human Resource,Human Resource,Relationship Management,Optional,,,,,,,,,,,,,,,,
